SEED_NAME,POSITION,SOW_DEPTH_MM,GERMINATION_DAYS,SPACING_CM,MATURE_HEIGHT_M,WATER_NEEDS,SPECIAL_NOTE_1
BOTTLE GOURD,Full Sun,25,7-10,100,2-3,Keep moist,Backyard-grown
CARROT,Full/Partial Sun,6,14-21,5,0.3,Consistent,Root Crop
PUMPKIN,Full Sun,50,7-14,150,1-2,Deep watering,Heirloom
TOMATO,Full Sun,6,5-10,45,1.5-2.5,Consistent,Needs Staking
BELL PEPPER,Full Sun,6,7-14,30,0.45-0.9,Average,Prefers Warmth
RIDGE GOURD,Full Sun,20,7-10,90,3-5,Deep watering,Climbing Trellis and Backyard-grown
HYACINTH BEANS,Full Sun,25,7-14,30,2-4,Consistent,Vine/Ornamental and Backyard-grown
GREEN PEAS,Full Sun,25,7-14,5,0.6-2,Consistent,Cool Season
RED CAPSICUM,Full Sun,6,7-14,30,0.45-0.9,Average,Prefers Warmth
GREEN CAPSICUM,Full Sun,6,7-14,30,0.45-0.9,Average,Prefers Warmth
SUNFLOWER,Full Sun,25,7-14,60,1-3,Drought Tolerant,Ornamental/Tall and Backyard-grown
